W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,,F,F,F,F,,W,,F,F,F,F,F,,,F,F,,,,,,,,W
W,,F,F,F,F,,W,,F,F,KS,F,F,,,F,F,,,,,F,F,F,W
W,,,F,F,,,W,,,,,,,,,,1,,,,,F,F,F,W
W,,,,,,F,W,F,F,,1,,F,F,,,F,F,,,,F,F,F,W
W,,,,,,F,W,F,F,,,,F,F,F,F,F,F,,,,F,F,F,W
W,F,F,,,,F,W,F,F,,,,F,F,F,F,F,F,2,3,2,F,F,F,W
W,F,F,,,1,,W,F,F,,,,,,,,,1,,,,,,,W
W,W,W,W,W,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,W,W,W,W
W,,,,,,,,,,,W,,,,,4,2,,,,,,,,W
W,,,,,,,,,,,W,,,,F,,F,,F,,,,,,W
W,F,F,F,F,,,F,F,,,W,,,F,F,F,F,F,F,F,F,,,,W
W,F,F,F,F,,,F,F,,,,1,F,F,F,F,F,F,F,F,F,F,,,W
W,F,F,,,,,,,,,W,,,F,F,F,F,F,F,F,F,,,,W
W,F,F,,,F,F,,,,,W,,,,F,,F,,F,,,,,,W
W,F,F,,,F,F,,2,,,W,,,1,,,,,,,,,F,F,W
W,F,F,1,1,F,F,2,1,F,F,W,,F,,,,,,,,,,F,F,W
W,F,F,,,,,,,F,F,W,,F,,,,F,F,,,,,F,F,W
W,,,,,,,,,F,F,W,,F,,,F,F,F,F,,,,F,F,W
W,,,,,F,F,,,,,W,,F,,,F,F,F,F,,,,,,W
W,,,,,,,,,,,W,,F,,,,F,F,,,,,,,W
W,,,F,F,F,F,F,,,,W,,F,,,,,,,,,,,,W
W,1,3,F,F,F,F,F,2,,,W,,,,,F,F,F,F,,,,,F,W
W,,,,,,,,,,,W,,,,,F,F,F,F,,,,F,F,W
W,,,,,,,,,,,W,,,,,F,F,F,F,,,F,F,F,W
W,W,W,FD,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
